,대피시설명,주소,평시활용 유형,대피시설 면적,경도,위도
1742,범양아파트 지하주차장,서울특별시 성북구 정릉로 402-16 (돈암동),주차장,23695.0,127.027632,37.603859
1743,풍림아파트 지하 주차장,서울특별시 성북구 북악산로 913 (돈암동),주차장,26153.0,127.023019,37.596548
1744,삼성아파트 지하주차장,서울특별시 성북구 동소문로34길 24 (돈암동),주차장,74044.0,127.023142,37.598991
1746,동소문송산아파트 주차장,서울특별시 성북구 동소문로3길 101 (동소문동4가),주차장,11361.0,127.01116,37.592353
1747,한성대학교 주차장,서울특별시 성북구 삼선교로16길 116 (삼선동2가),주차장,932.0,127.01039,37.583211
1748,한진아파트 지하주차장,서울특별시 성북구 성북로4길 52 (돈암동),주차장,37000.0,127.012706,37.594473
1749,코오롱아파트(삼선동),서울특별시 성북구 삼선교로23길 23 (삼선동4가),주차장,2597.0,127.013017,37.590848
1751,아남아파트,서울특별시 성북구 종암로36길 52 (하월곡동),주차장,900.0,127.034574,37.606049
1752,돈암현대아파트지하주차장,서울특별시 성북구 정릉로 404 (돈암동),주차장,15662.0,127.028797,37.604222
1753,정릉한화꿈에그린아파트주차장,서울특별시 성북구 아리랑로19가길 20 (정릉동 정릉꿈에그린아파트),주차장,17809.0,127.011112,37.601809
1754,길음역금호어울림센터힐 아파트 지하주차장,서울특별시 성북구 동소문로34길 73 (돈암동 길음역금호어울림센터힐),공공시설,22448.0,127.022417,37.599949
1755,돈암 코오롱 하늘채 아파트 지하주차장,서울특별시 성북구 아리랑로 75 (돈암동 돈암코오롱하늘채),주차장,32389.0,127.013625,37.59883
