,역번호,역명,경도,위도
171,2724,사가정,127.088502,37.580912
172,2725,용마산,127.086802,37.573752
173,2726,중곡,127.084291,37.565877
174,2728,어린이대공원,127.07465,37.547962
175,2731,청담,127.051851,37.519097
176,2732,강남구청,127.04122,37.517185
177,2733,학동,127.031738,37.514262
178,2734,논현,127.021385,37.511108
179,2735,반포,127.011717,37.508171
180,2737,내방,126.993541,37.48764
181,2739,남성,126.971108,37.484688
182,2740,숭실대입구,126.953649,37.496258
183,2741,상도,126.947949,37.50279
184,2742,장승배기,126.939025,37.504845
185,2743,신대방삼거리,126.928218,37.499717
186,2744,보라매,126.920112,37.499916
187,2745,신풍,126.909806,37.500107
188,2747,남구로,126.887372,37.486181
189,2748,가산디지털단지,126.882704,37.480376
190,2751,천왕,126.838684,37.486699
191,2752,온수,126.823294,37.492059
192,2811,암사,127.127521,37.550127
193,2813,강동구청,127.120461,37.530348
194,2814,몽촌토성,127.11274,37.517692
195,2816,석촌,127.106995,37.505396
196,2817,송파,127.11212,37.49978
197,2819,문정,127.122473,37.485931
198,2820,장지,127.126229,37.478609
199,2821,복정,127.126746,37.471016
200,926,언주역,127.033905,37.507324
201,927,선정릉역,127.043902,37.510278
202,928,삼성중앙역,127.053334,37.51306
203,929,봉은사역,127.060257,37.514258
204,930,종합운동장역,127.076313,37.511433
205,931,삼전역,127.08804,37.504356
206,932,석촌고분역,127.096961,37.502453
207,933,석촌역,127.106682,37.504929
208,934,송파나루역,127.112231,37.510303
209,935,한성백제역,127.116168,37.516311
210,936,올림픽공원역,127.130282,37.516132
211,937,둔촌오륜역,127.138706,37.519395
212,938,중앙보훈병원역,127.148376,37.528321
