호선,역사명,정거장층수,형식,지반고(m),레일면고(m),선로기준정거장깊이(m),승강장기준정거장깊이(m),비고
2,삼성,B2,섬식,118.07,104.7,13.37,12.27,
2,선릉,B2,상대식,122.14,109.09,13.05,11.95,분당선환승
2,역삼,B3,상대식,143.03,125.29,17.74,16.64,
2,강남,B2,상대식,118.77,105.71,13.06,11.96,신분당선환승
2,교대,B2,상대식,117.89,104.8,13.09,11.99,3호선환승
2,서초,B2,상대식,131.03,115.64,15.39,14.29,
2,방배,B2,상대식,126.43,113.68,12.75,11.65,
2,사당,B2,상대식,118.59,104.77,13.82,12.72,4호선환승
2,낙성대,B2,상대식,148.33,134.96,13.37,12.27,
2,서울대입구,B2,섬식,134.32,120.91,13.41,12.31,
2,봉천,B2,섬식,127.09,114.04,13.05,11.95,
2,신림,B2,섬식,122.46,109.57,12.89,11.79,
2,신대방,지상역사,상대식,108.97,126.25,-17.28,-18.38,
2,구로디지털,지상역사,상대식,110.64,126.26,-15.62,-16.72,
2,대림,지상역사,상대식,108.8,126.25,-17.45,-18.55,7호선환승
2,신도림,B2,섬식,111.52,99.58,11.94,10.84,2호선지선.국철환승
2,문래,B2,상대식,109.25,96.21,13.04,11.94,
2,영등포구청,B2,상대식,109.56,95.51,14.05,12.95,5호선환승
2,당산,지상역사,상대식,112.65,122.82,-10.17,-11.27,9호선환승
2,합정,B2,상대식,120.95,106.75,14.2,13.1,6호선환승
2,홍대입구,B2,섬식,111.67,98.41,13.26,12.16,"경의선,공항철도환승"
2,신촌,B2,상대식,121.26,106.15,15.11,14.01,
2,이대,B2,섬식,150.81,122.4,28.41,27.31,최대심도역
2,아현,B2,상대식,133.76,118.82,14.94,13.84,
2,충정로,B3,섬식,145.39,128.98,16.41,15.31,5호선환승
2,신설동,B3,상대식,118.13,100.08,18.05,16.95,지선
2,용두,B2,상대식,114.93,105.24,9.69,8.59,지선
2,신답,지상역사,상대식,114.07,112.67,1.4,0.3,지선
2,용답,지상역사,상대식,110.37,115.75,-5.38,-6.48,지선
2,도림천,B3,상대식,108.08,95.4,12.68,11.58,지선
2,양천구청,B2,상대식,107.28,97.91,9.37,8.27,지선
2,신정네거리,B3,상대식,114.97,93.33,21.64,20.54,지선
3,지축,지상역사,섬식,123.22,130.4,-7.18,-8.28,
3,구파발,B2,섬식,131.87,119.35,12.52,11.42,
3,연신내,B2,섬식,126.77,112.29,14.48,13.38,6호선환승
3,불광,B2,상대식,128.47,114.4,14.07,12.97,6호선환승
