시설번호,대피시설명,지번주소,도로명주소,대피시설 구분,평시활용 유형,대피시설 면적,대피시설 인원수,개방여부,데이터기준일자,제공기관명,제공기관코드,경도,위도,X좌표,Y좌표
636,경원오피스텔,서울특별시 강남구 청담동 5,,공공용,주차장,4679,5672,Y,2021-08-09,서울특별시 강남구청,3220000,127.045065,37.523593,203983.6033,547123.6044
637,신사지하철역,서울특별시 강남구 신사동 667,서울특별시 강남구 도산대로 지하 102 (신사동 신사역),공공용,지하철승강장,3730,4521,Y,2021-08-09,서울특별시 강남구청,3220000,127.020329,37.516431,201797.198,546328.0046
638,현대백화점,서울특별시 강남구 압구정동 429,서울특별시 강남구 압구정로 165 (현대백화점본점),공공용,주차장,8844,10720,Y,2021-08-09,서울특별시 강남구청,3220000,127.027427,37.527327,202424.3164,547537.4088
639,신사동주민센터,서울특별시 강남구 신사동 548-1,서울특별시 강남구 압구정로 128 (신사동 신사동주민센터),공공용,기계실,66,80,Y,2021-08-09,서울특별시 강남구청,3220000,127.022797,37.523974,202015.199,547165.2039
640,신구초등학교 복합화시설,서울특별시 강남구 신사동 550-11,서울특별시 강남구 압구정로18길 28 (신사동 신구초등학교),공공용,주차장,4964,6017,Y,2021-08-09,서울특별시 강남구청,3220000,127.023992,37.523361,202120.798,547097.2048
641,광림교회 사회봉사관,서울특별시 강남구 신사동 568-2,서울특별시 강남구 논현로163길 33 (신사동 교회),공공용,주차장,12027,14578,Y,2021-08-09,서울특별시 강남구청,3220000,127.02558,37.523894,202261.18,547156.4048
642,래미안 신사,서울특별시 강남구 신사동 506-9,서울특별시 강남구 압구정로2길 20 (신사동 래미안 신사),공공용,주차장,2814,3410,Y,2021-08-09,서울특별시 강남구청,3220000,127.01962,37.520104,201734.3978,546735.6047
1065,풍림VIP텔,서울특별시 마포구 아현동 404번지,서울특별시 마포구 마포대로 127 (아현동),공공용,,6278,7608,Y,2021-08-12,마포구청,3130000,126.952143,37.546196,195770.7965,549632.4047
643,디아이빌딩,서울특별시 강남구 논현동 58-6,서울특별시 강남구 논현로 703 (논현동 DI빌딩),공공용,주차장,627,760,Y,2021-08-09,서울특별시 강남구청,3220000,127.030124,37.51439,202663.1992,546101.604
644,삼주빌딩,서울특별시 강남구 논현동 1,서울특별시 강남구 강남대로 606 (논현동 삼주빌딩),공공용,주차장,1617,1960,Y,2021-08-09,서울특별시 강남구청,3220000,127.020157,37.515869,201781.9967,546265.6043
645,논현빌딩,서울특별시 강남구 논현동 50-1,서울특별시 강남구 강남대로 556 (논현동 논현빌딩),공공용,주차장,1287,1560,Y,2021-08-09,서울특별시 강남구청,3220000,127.021554,37.511566,201905.6015,545788.0045
646,법무사회관,서울특별시 강남구 논현동 151-25,서울특별시 강남구 논현로 651 (논현동 법무사회관),공공용,주차장,726,880,Y,2021-08-09,서울특별시 강남구청,3220000,127.031281,37.511784,202765.6016,545812.4045
647,삼익악기빌딩,서울특별시 강남구 논현동 58-3,서울특별시 강남구 학동로 171 (논현동 삼익악기 빌딩),공공용,주차장,5452,6608,Y,2021-08-09,서울특별시 강남구청,3220000,127.029549,37.514047,202612.4028,546063.6047
648,건우빌딩,서울특별시 강남구 논현동 120,서울특별시 강남구 강남대로 548 (논현동 건우빌딩),공공용,주차장,825,1000,Y,2021-08-09,서울특별시 강남구청,3220000,127.021888,37.511036,201935.1978,545729.2047
649,유현빌딩,서울특별시 강남구 논현동 175-10,서울특별시 강남구 논현로 627 (논현동 유현빌딩),공공용,주차장,660,800,Y,2021-08-09,서울특별시 강남구청,3220000,127.032357,37.50956,202860.7997,545565.6044
