,clust,법정동코드,읍면동주소,code,sido,gu,dong,lat,lng
403,8,10600,대치동,1168010600,서울특별시,강남구,대치동,37.501711,127.057851
404,1,10800,논현동,1168010800,서울특별시,강남구,논현동,37.513093,127.031353
405,8,11000,압구정동,1168054500,서울특별시,강남구,압구정동,37.530734,127.028461
407,1,11100,세곡동,1168070000,서울특별시,강남구,세곡동,37.464369,127.104583
409,1,11200,자곡동,1168011200,서울특별시,강남구,자곡동,37.476796,127.100387
410,0,11300,율현동,1168011300,서울특별시,강남구,율현동,37.47145,127.107251
411,8,11400,일원동,1168011400,서울특별시,강남구,일원동,37.491326,127.083799
412,1,11500,수서동,1168075000,서울특별시,강남구,수서동,37.485881,127.096706
414,8,11800,도곡동,1168011800,서울특별시,강남구,도곡동,37.486509,127.040738
415,8,1171010100,잠실동,1171010100,서울특별시,송파구,잠실동,37.506967,127.083673
416,8,10200,신천동,1171010200,서울특별시,송파구,신천동,37.517302,127.104967
417,4,10300,풍납동,1171010300,서울특별시,송파구,풍납동,37.534673,127.117643
418,1,10400,송파동,1171010400,서울특별시,송파구,송파동,37.506058,127.111216
419,4,10500,석촌동,1171060000,서울특별시,송파구,석촌동,37.50273,127.102497
421,4,10600,삼전동,1171061000,서울특별시,송파구,삼전동,37.501901,127.091876
423,1,10700,가락동,1171010700,서울특별시,송파구,가락동,37.496486,127.126006
424,1,10800,문정동,1171010800,서울특별시,송파구,문정동,37.486581,127.127495
425,1,10900,장지동,1171064600,서울특별시,송파구,장지동,37.477368,127.131914
427,1,11000,방이동,1171011100,서울특별시,송파구,방이동,37.512017,127.116902
428,1,11200,오금동,1171057000,서울특별시,송파구,오금동,37.50401,127.134003
430,4,11300,거여동,1171011300,서울특별시,송파구,거여동,37.494161,127.145196
431,4,11400,마천동,1171011400,서울특별시,송파구,마천동,37.497117,127.152393
432,1,1174010100,명일동,1174010100,서울특별시,강동구,명일동,37.549276,127.147555
433,1,10200,고덕동,1174010200,서울특별시,강동구,고덕동,37.561068,127.160582
434,1,10300,상일동,1174052000,서울특별시,강동구,상일동,37.550583,127.168797
436,4,10500,길동,1174068500,서울특별시,강동구,길동,37.539616,127.145914
438,1,10600,둔촌동,1174010600,서울특별시,강동구,둔촌동,37.531157,127.142891
439,4,10700,암사동,1174010700,서울특별시,강동구,암사동,37.552497,127.13301
440,4,10800,성내동,1174010800,서울특별시,강동구,성내동,37.531338,127.129174
441,4,10900,천호동,1174010900,서울특별시,강동구,천호동,37.543676,127.131748
442,1,11000,강일동,1174051500,서울특별시,강동구,강일동,37.567438,127.173364
