,clust,법정동코드,읍면동주소,code,sido,gu,dong,lat,lng
89,3,10700,동자동,1117010700,서울특별시,용산구,동자동,37.551535,126.974137
90,3,10800,서계동,1117010800,서울특별시,용산구,서계동,37.552113,126.966089
91,4,10900,청파동1가,1117010900,서울특별시,용산구,청파동1가,37.54887,126.967046
92,9,11000,청파동2가,1117011000,서울특별시,용산구,청파동2가,37.546067,126.967745
93,3,11100,청파동3가,1117011100,서울특별시,용산구,청파동3가,37.543407,126.968276
94,0,11200,원효로1가,1117011200,서울특별시,용산구,원효로1가,37.539977,126.966998
95,3,11300,원효로2가,1117011300,서울특별시,용산구,원효로2가,37.536307,126.963165
96,3,11400,신창동,1117011400,서울특별시,용산구,신창동,37.53573,126.955199
97,0,11500,산천동,1117011500,서울특별시,용산구,산천동,37.535428,126.952396
98,3,11700,원효로3가,1117011700,서울특별시,용산구,원효로3가,37.53414,126.956862
99,0,11800,원효로4가,1117011800,서울특별시,용산구,원효로4가,37.533504,126.952763
100,1,11900,효창동,1117058000,서울특별시,용산구,효창동,37.542828,126.960951
102,0,12000,도원동,1117012000,서울특별시,용산구,도원동,37.539188,126.95794
103,3,12100,용문동,1117059000,서울특별시,용산구,용문동,37.537663,126.959677
105,0,12200,문배동,1117012200,서울특별시,용산구,문배동,37.536423,126.969346
106,0,12300,신계동,1117012300,서울특별시,용산구,신계동,37.534581,126.964922
107,0,12400,한강로1가,1117012400,서울특별시,용산구,한강로1가,37.534384,126.973765
108,0,12500,한강로2가,1117012500,서울특별시,용산구,한강로2가,37.531715,126.970242
109,0,12700,용산동5가,1117012700,서울특별시,용산구,용산동5가,37.527123,126.97083
110,0,12800,한강로3가,1117012800,서울특별시,용산구,한강로3가,37.524659,126.963299
111,8,12900,이촌동,1117012900,서울특별시,용산구,이촌동,37.524133,126.961987
112,9,13000,이태원동,1117013000,서울특별시,용산구,이태원동,37.5367,126.992151
113,8,13100,한남동,1117068500,서울특별시,용산구,한남동,37.537541,127.005165
115,4,13200,동빙고동,1117013200,서울특별시,용산구,동빙고동,37.523599,126.995949
116,0,13300,서빙고동,1117069000,서울특별시,용산구,서빙고동,37.518619,126.991299
118,9,13600,보광동,1117070000,서울특별시,용산구,보광동,37.526873,127.000917
120,0,1120010300,상왕십리동,1120010100,서울특별시,성동구,상왕십리동,37.569332,127.025349
121,4,10200,상왕십리동,1120010100,서울특별시,성동구,상왕십리동,37.569332,127.025349
122,1,10200,하왕십리동,1120010200,서울특별시,성동구,하왕십리동,37.562462,127.029586
123,3,10300,홍익동,1120010300,서울특별시,성동구,홍익동,37.566144,127.032921
124,3,10400,도선동,1120010400,서울특별시,성동구,도선동,37.563897,127.033258
125,4,10500,마장동,1120054000,서울특별시,성동구,마장동,37.567363,127.040731
127,9,10600,사근동,1120010600,서울특별시,성동구,사근동,37.561371,127.046789
128,1,10700,행당동,1120010700,서울특별시,성동구,행당동,37.559076,127.035869
129,1,10800,응봉동,1120058000,서울특별시,성동구,응봉동,37.550935,127.033903
131,1,10900,금호동1가,1120010900,서울특별시,성동구,금호동1가,37.554697,127.023412
132,1,11000,금호동2가,1120011000,서울특별시,성동구,금호동2가,37.552482,127.020133
133,1,11100,금호동3가,1120011100,서울특별시,성동구,금호동3가,37.549504,127.021812
134,1,11200,금호동4가,1120011200,서울특별시,성동구,금호동4가,37.547468,127.02006
