"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","비상시설위치","시설구분명","시설명_건물명","해제일자"
"3210000","3210000-S200800066","20080901","","01","영업/정상","18","사용중","","","","","","4800","","서울특별시 서초구 방배동 930번지 1호","서울특별시 서초구 방배로19길 67 (방배동 방배브라운가아파트)","06681","방배 브라운가아파트","20211015103724","U","2021-10-17 02:40:00.0","","199217.406245722    ","442370.150832762    ","서울특별시 서초구 방배동 930번지 1호","공공시설","방배 브라운가아파트",""
"3210000","3210000-S200800067","20080901","20180426","04","취소/말소/만료/정지/중지","19","사용중지","20180426","","","","","360","","서울특별시 서초구 반포동 821번지","서울특별시 서초구 신반포로 9 (반포동 반포아파트)","06501","반포본동 주공@75","20180426092926","I","2018-08-31 23:59:59.0","","198672.895781847    ","444372.77020404     ","서울특별시 서초구 반포동 821번지","공공시설","반포본동 주공@75","20180426"
"3210000","3210000-S200800068","20080901","20180426","04","취소/말소/만료/정지/중지","19","사용중지","20180426","","","","","360","","서울특별시 서초구 반포동 821번지","서울특별시 서초구 신반포로 9 (반포동 반포아파트)","06501","반포본동 주공@76","20180426092948","I","2018-08-31 23:59:59.0","","198672.895781847    ","444372.77020404     ","서울특별시 서초구 반포동 821번지","공공시설","반포본동 주공@76","20180426"
"3210000","3210000-S200800069","20080901","20211230","04","취소/말소/만료/정지/중지","19","사용중지","20211230","","","","","360","","서울특별시 서초구 반포동 821번지","서울특별시 서초구 신반포로 9 (반포동 반포아파트)","06501","반포본동 주공아파트 77","20220118092719","U","2022-01-20 02:40:00.0","","198672.895781847    ","444372.77020404     ","서울특별시 서초구 반포동 821번지","공공시설","반포본동 주공아파트 77","20211230"
"3210000","3210000-S200800070","20080901","","01","영업/정상","18","사용중","","","","","","2446","","서울특별시 서초구 방배동 169번지 24호","서울특별시 서초구 효령로33길 66-31 (방배동 방배한화아파트)","06666","방배 한화아파트","20211015103907","U","2021-10-17 02:40:00.0","","199817.585247283    ","442522.202999551    ","서울특별시 서초구 방배동 169번지 24호","공공시설","방배 한화아파트",""
"3210000","3210000-S200800071","20080901","20160824","04","취소/말소/만료/정지/중지","19","사용중지","20160824","","","","","360","","서울특별시 서초구 반포동 1263번지 주공아파트","서울특별시 서초구  신반포로  9 (반포동)","","반포본동 주공@78","20160824162502","I","2018-08-31 23:59:59.0","","","","서울특별시 서초구 반포동 1263번지 주공아파트","공공시설","반포본동 주공@78","20160824"
"3210000","3210000-S200800072","20080901","20160824","04","취소/말소/만료/정지/중지","19","사용중지","20160824","","","","","360","","서울특별시 서초구 반포동 1271번지 주공아파트","서울특별시 서초구  신반포로  9 (반포동)","","반포본동 주공@79","20160824162531","I","2018-08-31 23:59:59.0","","","","서울특별시 서초구 반포동 1271번지 주공아파트","공공시설","반포본동 주공@79","20160824"
"3210000","3210000-S200800073","20080901","20211230","04","취소/말소/만료/정지/중지","19","사용중지","20211230","","","","","360","","서울특별시 서초구 반포동 821번지","서울특별시 서초구 신반포로 9 (반포동 반포아파트)","06501","반포본동 주공아파트 80","20220118092733","U","2022-01-20 02:40:00.0","","198672.895781847    ","444372.77020404     ","서울특별시 서초구 반포동 821번지","공공시설","반포본동 주공아파트 80","20211230"
"3210000","3210000-S200800074","20080901","20160824","04","취소/말소/만료/정지/중지","19","사용중지","20160824","","","","","360","","서울특별시 서초구 반포동 824번지 주공아파트","서울특별시 서초구  신반포로  9 (반포동)","","반포본동 주공@81","20160824162553","I","2018-08-31 23:59:59.0","","","","서울특별시 서초구 반포동 824번지 주공아파트","공공시설","반포본동 주공@81","20160824"
"3210000","3210000-S200800075","20080901","20160824","04","취소/말소/만료/정지/중지","19","사용중지","20160824","","","","","397","","서울특별시 서초구 반포동 1224번지 주공아파트","서울특별시 서초구  신반포로  9 (반포동)","","반포본동 주공@82","20160824162636","I","2018-08-31 23:59:59.0","","","","서울특별시 서초구 반포동 1224번지 주공아파트","공공시설","반포본동 주공@82","20160824"
