clust,법정동코드,읍면동주소
3,11000,염곡동
0,11100,신원동
8,1168010100,역삼동
1,10300,개포동
8,10400,청담동
8,10500,삼성동
8,10600,대치동
1,10700,신사동
1,10800,논현동
8,11000,압구정동
1,11100,세곡동
1,11200,자곡동
0,11300,율현동
8,11400,일원동
1,11500,수서동
8,11800,도곡동
8,1171010100,잠실동
8,10200,신천동
4,10300,풍납동
1,10400,송파동
4,10500,석촌동
4,10600,삼전동
1,10700,가락동
1,10800,문정동
1,10900,장지동
1,11000,방이동
1,11200,오금동
4,11300,거여동
4,11400,마천동
1,1174010100,명일동
1,10200,고덕동
1,10300,상일동
4,10500,길동
1,10600,둔촌동
4,10700,암사동
4,10800,성내동
4,10900,천호동
1,11000,강일동
