,호선_x,역번호,역명,경도,위도,호선_y,역사명,정거장층수,형식,지반고(m),레일면고(m),선로기준정거장깊이(m),승강장기준정거장깊이(m),비고
58,2,234-4,까치산,126.846706,37.53181,5,까치산,B5,상대식,114.37,82.28,32.09,30.99,2호선환승
59,3,309,지축,126.912551,37.648281,3,지축,지상역사,섬식,123.22,130.4,-7.18,-8.28,
60,3,310,구파발,126.918827,37.636612,3,구파발,B2,섬식,131.87,119.35,12.52,11.42,
61,3,311,연신내,126.920859,37.618855,3,연신내,B2,섬식,126.77,112.29,14.48,13.38,6호선환승
62,3,312,불광,126.929843,37.610554,3,불광,B2,상대식,128.47,114.4,14.07,12.97,6호선환승
63,3,313,녹번,126.935758,37.600882,3,녹번,B2,섬식,136.67,123.69,12.98,11.88,
64,3,314,홍제,126.944092,37.588851,3,홍제,B3,섬식,138.75,121.83,16.92,15.82,
65,3,315,무악재,126.950131,37.582658,3,무악재,B3,상대식,154.53,138.06,16.47,15.37,
66,3,316,독립문,126.957902,37.574534,3,독립문,B3,섬식,149.49,131.45,18.04,16.94,
67,3,317,경복궁,126.973576,37.575844,3,경복궁,B3,섬식,134.82,115.66,19.16,18.06,
68,3,318,안국,126.98547,37.576562,3,안국,B4,섬식,133.1,113.19,19.91,18.81,
69,3,321,충무로,126.995473,37.561302,3,충무로,B4,섬식,137.83,110.14,27.69,26.59,4호선환승
70,3,322,동대입구,127.005273,37.55816,3,동대입구,B3,섬식,131.99,116.79,15.2,14.1,
71,3,323,약수,127.010628,37.554674,3,약수,B3,섬식,135.42,120.27,15.15,14.05,6호선환승
72,3,324,금호,127.015785,37.548269,3,금호,B2,섬식,134.29,121.89,12.4,11.3,
73,3,325,옥수,127.017303,37.541653,3,옥수,지상역사,상대식,113.51,128.09,-14.58,-15.68,중앙선환승
74,3,326,압구정,127.028502,37.526169,3,압구정,B2,상대식,121.58,109.19,12.39,11.29,
75,3,327,신사,127.020247,37.516438,3,신사,B2,상대식,124.49,110.91,13.58,12.48,
76,3,328,잠원,127.011613,37.512989,3,잠원,B2,상대식,110.98,97.26,13.72,12.62,
77,3,329,고속터미널,127.004916,37.504953,3,고속터미널,B3,상대식,110.05,96.12,13.93,12.83,"7,9호선환승"
78,3,331,남부터미널,127.016289,37.48494,3,남부터미널,B3,상대식,135.55,116.99,18.56,17.46,
79,3,332,양재,127.03513,37.48466,3,양재,B2,상대식,131,112.41,18.59,17.49,신분당선환승
80,3,333,매봉,127.046907,37.487114,3,매봉,B2,상대식,114.98,99.35,15.63,14.53,
81,3,334,도곡,127.055694,37.491129,3,도곡,B4,상대식,113.38,88.531,24.849,23.749,분당선환승
82,3,335,대치,127.063449,37.494601,3,대치,B4,섬식,111.43,86.93,24.5,23.4,
83,3,336,학여울,127.070541,37.496757,3,학여울,B5,상대식,117.91,91.57,26.34,25.24,
84,3,337,대청,127.079526,37.493607,3,대청,B3,상대식,122,107.62,14.38,13.28,
85,3,338,일원,127.08416,37.48389,3,일원,B3,상대식,143.96,127.07,16.89,15.79,
86,3,339,수서,127.101324,37.487507,3,수서,B2,상대식,113.38,102.09,11.29,10.19,분당선환승
87,3,340,가락시장,127.118101,37.492368,3,가락시장,B4,상대식,116.12,91.69,24.43,23.33,8호선환승
88,3,341,경찰병원,127.124198,37.495754,3,경찰병원,B3,상대식,126.56,96.83,29.73,28.63,
89,3,342,오금,127.128344,37.502288,3,오금,B4,상대식,133.6,98.27,35.33,34.23,5호선환승
90,4,409,당고개,127.078404,37.66956,4,당고개,지상역사,상대식,141.03,156.69,-15.66,-16.76,
91,4,410,상계,127.073199,37.660576,4,상계,지상역사,상대식,131.63,144.57,-12.94,-14.04,
92,4,411,노원,127.063183,37.656274,4,노원,지상역사,상대식,125.69,138.28,-12.59,-13.69,7호선환승
93,4,412,창동,127.046746,37.652993,4,창동,지상역사,상대식,122.99,132.46,-9.47,-10.57,국철환승
94,4,413,쌍문,127.034381,37.648274,4,쌍문,B2,상대식,140.28,126.24,14.04,12.94,
95,4,414,수유,127.024731,37.637127,4,수유,B2,상대식,132.56,119.9,12.66,11.56,
96,4,415,미아,127.026151,37.626435,4,미아,B2,상대식,140.93,127.38,13.55,12.45,
97,4,416,미아사거리,127.030083,37.613276,4,미아삼거리,B2,상대식,131.31,117.33,13.98,12.88,
98,4,417,길음,127.025353,37.604087,4,길음,B2,섬식,135.62,120.69,14.93,13.83,
99,4,418,성신여대입구,127.017338,37.592782,4,성신여대입구,B2,상대식,131.18,118.07,13.11,12.01,
100,4,419,한성대입구,127.006751,37.58838,4,한성대입구,B2,섬식,140.1,125.2,14.9,13.8,
101,4,420,혜화,127.001759,37.582116,4,혜화,B2,상대식,128.26,114.28,13.98,12.88,
102,4,424,명동,126.988271,37.561055,4,명동,B4,섬식,137.46,117.89,19.57,18.47,
103,4,425,회현,126.979565,37.559698,4,회현,B4,섬식,142,118.81,23.19,22.09,
104,4,427,숙대입구,126.971952,37.545124,4,숙대입구,B2,상대식,118.14,104.15,13.99,12.89,
105,4,428,삼각지,126.973354,37.535057,4,삼각지,B2,상대식,112.01,99.02,12.99,11.89,6호선환승
106,4,429,신용산,126.96858,37.52919,4,신용산,B2,상대식,111.39,98.06,13.33,12.23,
107,4,430,이촌,126.97335,37.522525,4,이촌,B2,상대식,114.24,101.38,12.86,11.76,중앙선환승
108,4,431,동작,126.980171,37.503567,4,동작,지상역사,상대식,105.43,125.23,-19.8,-20.9,9호선환승
109,4,432,총신대입구,126.982309,37.487521,4,총신대입구,B2,상대식,114.34,99.69,14.65,13.55,7호선환승
110,4,434,남태령,126.989081,37.464339,4,남태령,B3,섬식,156.71,119.5,37.21,36.11,최대심도역
111,5,2511,방화,126.812822,37.577669,5,방화,B2,섬식,116.05,104.77,11.28,10.18,
112,5,2512,개화산,126.806838,37.572458,5,개화산,B2,상대식,109.7,101.52,8.18,7.08,
113,5,2513,김포공항,126.801273,37.56217,5,김포공항,B3,상대식,113.57,93.26,20.31,19.21,
114,5,2514,송정,126.812052,37.561411,5,송정,B3,상대식,112.62,89.72,22.9,21.8,
115,5,2515,마곡,126.82693,37.562182,5,마곡,B2,상대식,106.57,96.11,10.46,9.36,
116,5,2516,발산,126.82693,37.562182,5,발산,B2,상대식,108.92,95.95,12.97,11.87,
117,5,2517,우장산,126.83633,37.548864,5,우장산,B2,상대식,122.57,108.02,14.55,13.45,
118,5,2518,화곡,126.840436,37.541585,5,화곡,B3,섬식,125.12,105.12,20,18.9,
119,5,2520,신정,126.856176,37.525001,5,신정,B5,상대식,123.71,97.54,26.17,25.07,
120,5,2521,목동,126.864296,37.526088,5,목동,B2,상대식,108.61,93.72,14.89,13.79,
121,5,2522,오목교,126.875049,37.524557,5,오목교,B3,상대식,107.83,86.1,21.73,20.63,
122,5,2523,양평,126.886177,37.525614,5,양평,B5,상대식,107.91,74.33,33.58,32.48,
123,5,2525,영등포시장,126.905143,37.52276,5,영등포시장,B6,상대식,109.4,72.52,36.88,35.78,
124,5,2526,신길,126.914886,37.51763,5,신길,B4,상대식,108.9,88.2,20.7,19.6,1호선환승
125,5,2527,여의도,126.924318,37.521578,5,여의도,B4,상대식,113.5,84.62,28.88,27.78,
126,5,2528,여의나루,126.932807,37.527145,5,여의나루,B5,섬식,111,73.92,37.08,35.98,
127,5,2529,마포,126.946043,37.539718,5,마포,B5,섬식,109.56,78.65,30.91,29.81,
128,5,2530,공덕,126.951058,37.544005,5,공덕,B3,섬식,112.46,91.07,21.39,20.29,6호선환승
129,5,2531,애오개,126.956733,37.553592,5,애오게,B4,상대식,121.69,96.09,25.6,24.5,
130,5,2533,서대문,126.966639,37.565812,5,서대문,B4,섬식,135.3,109.77,25.53,24.43,
131,5,2534,광화문,126.976568,37.570545,5,광화문,B4,섬식,131.19,105.69,25.5,24.4,
132,5,2538,청구,127.01379,37.560237,5,청구,B4,섬식,125.41,101.44,23.97,22.87,6호선환승
